experiment_name,roc_auc,f1_score,PA%20_roc_auc,PA%20_f1_score,PA%50_roc_auc,PA%50_f1_score,PA%80_roc_auc,PA%80_f1_score,disc_ratio_1,disc_ratio_2,t_ratio,disc_cohens_d_normal_vs_anomaly,disc_cohens_d_disturbing_vs_anomaly,recon_cohens_d_normal_vs_anomaly,recon_cohens_d_disturbing_vs_anomaly,inference_mode,scoring_mode
022_d_model_128,0.92769875,0.7709790209790209,0.9659956003197627,0.7483646770237122,0.943558894839027,0.7274238802868128,0.8881734658762053,0.6557628979143798,2.1605794931342617,1.1312717184867884,6.5970041143939495,0.8269172318767393,0.11644164600627589,2.152586705815984,1.2388619520382984,last_patch,adaptive
022_d_model_128,0.9557474999999999,0.863593603010348,0.9827867624434568,0.8306442513821505,0.9691534850717729,0.8278669984166478,0.9297232193067008,0.7867010067899789,2.1605794931342617,1.1312717184867884,6.5970041143939495,0.8269172318767393,0.11644164600627589,2.152586705815984,1.2388619520382984,last_patch,default
022_d_model_128,0.9182025,0.7539267015706806,0.9628999220364486,0.7423704755145494,0.9368200913407344,0.7171372427345124,0.866390941057758,0.6196305363899399,2.1605794931342617,1.1312717184867884,6.5970041143939495,0.8269172318767393,0.11644164600627589,2.152586705815984,1.2388619520382984,last_patch,normalized
030_ffn_512,0.89706375,0.7231740306582507,0.954962233263405,0.739193083573487,0.913960093470908,0.6898395721925134,0.8346804788866178,0.5552541573298738,1.3784623098843938,0.8387795740182246,6.370635075758423,0.4016007805319239,-0.19535629312861552,1.9971176526029977,1.1001322318038136,last_patch,adaptive
030_ffn_512,0.9472775,0.8423005565862709,0.9794824178413254,0.8160564622849581,0.9617969262452666,0.8083028083028083,0.9146599600041496,0.7589874003005432,1.3784623098843938,0.8387795740182246,6.370635075758423,0.4016007805319239,-0.19535629312861552,1.9971176526029977,1.1001322318038136,last_patch,default
030_ffn_512,0.85585875,0.6565836298932385,0.9345791914519394,0.6964607078584283,0.8823114876851613,0.6242481798037354,0.7707902178656745,0.4675599435825106,1.3784623098843938,0.8387795740182246,6.370635075758423,0.4016007805319239,-0.19535629312861552,1.9971176526029977,1.1001322318038136,last_patch,normalized
029_ffn_128,0.8954337499999999,0.7187206020696143,0.9567029307957162,0.7539513028620248,0.9112092805816479,0.6760467491206172,0.8367121789963254,0.5637616937469226,1.311935539876051,0.8838618879348167,6.3323304225156685,0.3552589069654156,-0.14660832985142427,2.0915033178536313,1.1728867601672794,last_patch,adaptive
029_ffn_128,0.94791875,0.848314606741573,0.979675963895609,0.8198730088002674,0.9625914152939359,0.8040189659065252,0.9167599596990772,0.7667054714784634,1.311935539876051,0.8838618879348167,6.3323304225156685,0.3552589069654156,-0.14660832985142427,2.0915033178536313,1.1728867601672794,last_patch,default
029_ffn_128,0.8565800000000001,0.6187929717341482,0.9348181649823575,0.6192858375021563,0.871907637088912,0.5726259473918859,0.7820863391110582,0.4676940748540251,1.311935539876051,0.8838618879348167,6.3323304225156685,0.3552589069654156,-0.14660832985142427,2.0915033178536313,1.1728867601672794,last_patch,normalized
023_d_model_256,0.9158949999999999,0.7631067961165049,0.9735644179865932,0.792800799911121,0.9410292345730333,0.7518952446588559,0.8565335371551661,0.5853404504621794,1.3094669151930758,1.0174359517941414,6.315502323338268,0.41130372624506484,0.02096214264014872,2.1104908041041575,1.1996070094003393,last_patch,adaptive
