experiment_name,scoring_mode,inference_mode,train_time,inference_time,roc_auc,metric_precision,metric_recall,f1_score,metric_optimal_threshold,metric_pa_10_f1,metric_pa_10_roc_auc,PA%20_f1_score,PA%20_roc_auc,PA%50_f1_score,PA%50_roc_auc,PA%80_f1_score,PA%80_roc_auc,metric_disturbing_roc_auc,metric_disturbing_precision,metric_disturbing_recall,metric_disturbing_f1,metric_n_pure_normal,metric_n_disturbing_normal,metric_n_anomaly,loss_reconstruction_loss,loss_discrepancy_loss,loss_recon_normal,loss_recon_anomaly,loss_recon_pure_normal,loss_recon_disturbing,loss_disc_normal,loss_disc_anomaly,loss_disc_pure_normal,loss_disc_disturbing,loss_recon_normal_std,loss_recon_anomaly_std,loss_disc_normal_std,loss_disc_anomaly_std,loss_disc_disturbing_std,disc_ratio_1,disc_ratio_2,t_ratio,disc_cohens_d_normal_vs_anomaly,recon_cohens_d_normal_vs_anomaly,disc_cohens_d_disturbing_vs_anomaly,recon_cohens_d_disturbing_vs_anomaly
062_w500_d128_t3s1,default,all_patches,146.27935600280762,11.899149417877197,0.857973873786396,0.28958543983822044,0.7001303780964798,0.40970864527204237,0.026372302,0.5963713980789754,0.9838062613301065,0.5812977922669416,0.9771219033889071,0.5132263169794258,0.9320209327091864,0.3675630947455523,0.7963598821412232,0.9389589743589744,1.0,0.2866666666666667,0.44559585492227977,1300,300,500,0.017554011195898056,0.005898547824472189,0.015993330627679825,0.04269992187619209,0.015670426189899445,0.016613120213150978,0.005888903979212046,0.006053946912288666,0.005761135369539261,0.006134146358817816,0.005609638523310423,0.028566841036081314,0.0017491320613771677,0.00225722580216825,0.0021841530688107014,1.0280243409326726,0.9869241274859502,2.669856340225189,0.09257360434170482,3.0371973267233394,-0.03652776124515962,2.0410337001746477
062_w500_d128_t3s1,default,last_patch,146.27935600280762,1.741502046585083,0.89377375,0.7421259842519685,0.754,0.748015873015873,0.02706573,0.7938571908978814,0.9529125867233054,0.7938571908978814,0.951686327294605,0.7462130039617805,0.9283616264129093,0.593647889164815,0.8286050255916166,0.5239897435897436,0.3816793893129771,0.16666666666666666,0.23201856148491878,1300,300,500,0.023730896413326263,0.005708072334527969,0.016312528401613235,0.04746966436505318,0.01618083380162716,0.01688320003449917,0.0056543052196502686,0.0058801257982850075,0.005564740858972073,0.0060424176044762135,0.00521869957447052,0.029788171872496605,0.0015782342525199056,0.001962804701179266,0.0020117235835641623,1.0399359727681943,0.97313963578629,2.910010888333519,0.13452811742624615,2.044500942298987,-0.0818097080485781,1.2776964764686882
062_w500_d128_t3s1,normalized,all_patches,146.27935600280762,12.16270136833191,0.7767535001067142,0.23699851411589895,0.571870925684485,0.3351160347626779,1.1861817,0.546499553237219,0.9548053169794619,0.5008468665936037,0.9365217709843595,0.40286586174870637,0.8548258424313074,0.28884971854210495,0.6941136661125057,0.8156794871794872,0.9911504424778761,0.37333333333333335,0.5423728813559322,1300,300,500,0.017554011195898056,0.005898547824472189,0.015993330627679825,0.04269992187619209,0.015670426189899445,0.016613120213150978,0.005888903979212046,0.006053946912288666,0.005761135369539261,0.006134146358817816,0.005609638523310423,0.028566841036081314,0.0017491320613771677,0.00225722580216825,0.0021841530688107014,1.0280243409326726,0.9869241274859502,2.669856340225189,0.09257360434170482,3.0371973267233394,-0.03652776124515962,2.0410337001746477
062_w500_d128_t3s1,normalized,last_patch,146.27935600280762,1.8307228088378906,0.7609525,0.5247524752475248,0.53,0.527363184079602,0.7398008,0.6698342308098406,0.8984711810507184,0.647993131573299,0.8860989281084536,0.5103464585550431,0.8003366293905335,0.33116969134984764,0.6562926122617501,0.5645230769230769,0.31666666666666665,0.25333333333333335,0.2814814814814815,1300,300,500,0.023730896413326263,0.005708072334527969,0.016312528401613235,0.04746966436505318,0.01618083380162716,0.01688320003449917,0.0056543052196502686,0.0058801257982850075,0.005564740858972073,0.0060424176044762135,0.00521869957447052,0.029788171872496605,0.0015782342525199056,0.001962804701179266,0.0020117235835641623,1.0399359727681943,0.97313963578629,2.910010888333519,0.13452811742624615,2.044500942298987,-0.0818097080485781,1.2776964764686882
063_w500_p20_d128,adaptive,all_patches,98.9540102481842,10.822249412536621,0.8236145407424396,0.18285481571981266,0.7730272596843616,0.29575145460533536,0.026884396,0.3467936951898144,0.9047373086044583,0.34382616055922827,0.8894486445668994,0.3100382708144089,0.8263719314286133,0.2752887537993921,0.7671524134903966,0.9742641025641026,0.9868421052631579,0.75,0.8522727272727273,1300,300,500,0.013106316328048706,0.0004986042622476816,0.012568872421979904,0.020665237680077553,0.011094455607235432,0.015470391139388084,0.00047668651677668095,0.0008068685419857502,0.0003333751519676298,0.0007587100262753665,0.006557921413332224,0.01267586275935173,0.0003282995312474668,0.0003497821744531393,0.0003530328976921737,1.6926252103573596,1.0634601882683254,1.6441587236060942,1.001233580922134,1.1357306732376298,0.1366252379349955,0.5463937165317152
063_w500_p20_d128,adaptive,last_patch,98.9540102481842,2.522747755050659,0.79461125,0.5254777070063694,0.66,0.5851063829787234,0.028790649,0.5637305699481865,0.8718569151165536,0.55625,0.8637925746901407,0.4960212201591512,0.8073663841504531,0.3926293408929837,0.7010203047047893,0.8884358974358975,0.6040268456375839,0.6,0.6020066889632107,1300,300,500,0.014548994600772858,0.0004800371825695038,0.012132673524320126,0.02228122390806675,0.011288602836430073,0.015790307894349098,0.0004269186465535313,0.0006500164745375514,0.0003436789265833795,0.0007876239251345396,0.00596803892403841,0.015457064844667912,0.0002894281060434878,0.0003470041847322136,0.0003481823077891022,1.522541248484828,0.8252773957476741,1.8364629608448733,0.7332186243858676,1.106618370304934,-0.3955583031898443,0.48918449300188904
063_w500_p20_d128,default,all_patches,98.9540102481842,11.30377197265625,0.7400653212621499,0.1225276651144159,0.7021520803443329,0.20864597544338337,0.01317354,0.2791089811856585,0.9192084283508075,0.2762214838931917,0.8960790164927044,0.2211111748179577,0.7686447876612812,0.13879157268320774,0.6025250933286508,0.9876999999999999,1.0,0.8333333333333334,0.9090909090909091,1300,300,500,0.013111344538629055,0.0004979490186087787,0.012571312487125397,0.02070668153464794,0.011097555048763752,0.01547153014689684,0.0004760346782859415,0.0008061654516495764,0.00033182260813191533,0.0007598307565785944,0.006560755427926779,0.012697160243988037,0.0003285689454060048,0.00034907698864117265,0.0003529495152179152,1.693465946415526,1.0609663204690052,1.647136294200882,1.0004687810027864,1.140410279869691,0.13152227813725234,0.5487195715650811
063_w500_p20_d128,default,last_patch,98.9540102481842,2.4530630111694336,0.73374375,0.4911937377690802,0.502,0.49653808110781406,0.018049303,0.539205018242335,0.8471166957281793,0.5065113539689811,0.8289402135304227,0.40394433177145256,0.73974407139572,0.28470499812100714,0.6152634131095936,0.6770769230769231,0.36538461538461536,0.31666666666666665,0.3392857142857143,1300,300,500,0.01457202062010765,0.0004785441851709038,0.012234693393111229,0.02205146849155426,0.011398786678910255,0.01585695706307888,0.00042566031333990395,0.0006477724527940154,0.00034346486791037023,0.000781840702984482,0.005973814986646175,0.015478084795176983,0.0002902186824940145,0.0003386001044418663,0.0003468092472758144,1.521770329040446,0.8285116970814723,1.8023705015987865,0.7340487595335612,1.069122371105578,-0.39186397638224346,0.4665655827430537
063_w500_p20_d128,normalized,all_patches,98.9540102481842,10.87429165840149,0.8220591008725553,0.17946315014391861,0.7692969870875179,0.29103343465045595,0.30929795,0.3401385707578711,0.9109489691525758,0.3342851431997944,0.8972277069565652,0.3058403275927163,0.8300693705729438,0.26275350665594566,0.7615716681245216,0.9782435897435896,0.9957264957264957,0.7766666666666666,0.8726591760299626,1300,300,500,0.013109402731060982,0.0004980048979632556,0.012569814920425415,0.020698463544249535,0.011096564121544361,0.015469036065042019,0.0004757212591357529,0.0008114135707728565,0.0003310840402264148,0.0007603541016578674,0.006568619981408119,0.01269497349858284,0.0003287850704509765,0.0003548690292518586,0.00035390735138207674,1.7056133167430028,1.06713818945908,1.6466787465444677,1.015444310568165,1.138431637689211,0.1441979809121333,0.5486629084014231
063_w500_p20_d128,normalized,last_patch,98.9540102481842,2.5336904525756836,0.7894574999999999,0.5299837925445705,0.654,0.585496866606983,0.23435393,0.5600235849056604,0.8650125635810003,0.5600235849056604,0.8577140597023134,0.5216707021791768,0.8067110285289897,0.39687541026650913,0.6947182505404027,0.8813282051282051,0.6275862068965518,0.6066666666666667,0.6169491525423729,1300,300,500,0.014566875994205475,0.0004799557209480554,0.012186093255877495,0.022185375913977623,0.011354762129485607,0.015788530930876732,0.0004258441913407296,0.0006531127728521824,0.00034429668448865414,0.0007792167598381639,0.0059111155569553375,0.015286208130419254,0.00028566792025230825,0.0003496865974739194,0.0003391374193597585,1.5336535042568626,0.8381549588823491,1.82054717969646,0.751829773792952,1.1019831864246392,-0.3642503607180946,0.48877557973411895
